AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET,Date
0.00169050509029,0.00116994243348,0.000960145932354,0.00189082927191,0.00310088180797,0.00164071704279,0.00151725182038,0.00115129180526,0.00163942251141,0.000587369684664,0.00125461625713,6/27/2014
0.00165826089316,0.00116573508785,0.00095640541415,0.00189283623346,0.00301382646236,0.0016368646734,0.00150420711916,0.00115318243443,0.00164715341046,0.000588576206509,0.00125890083416,7/4/2014
0.00165842973218,0.00116522665179,0.000976648713452,0.00189578456968,0.00298889074489,0.00164604033676,0.00150159235676,0.00113315496999,0.00163290081464,0.000577408812941,0.00125035863681,7/11/2014
0.00164919111359,0.00115304592194,0.000946402196574,0.00190663125862,0.00291370839009,0.00160984030349,0.00146451271292,0.00106648952017,0.00143750656318,0.000529386416608,0.00117666029431,7/18/2014
0.00165163793899,0.00116065383033,0.000952943947067,0.00192727475047,0.00273459423651,0.00158040497375,0.0014631499274,0.00107744224058,0.00145746482479,0.00053803348089,0.00120175050968,7/25/2014
0.00162840326423,0.0010271423087,0.000942336829586,0.00182937712271,0.00271258810572,0.0015682367474,0.00144841672827,0.0010486214447,0.00145258633569,0.000539803284287,0.00118831373692,8/1/2014
0.00160190809738,0.000999566538844,0.000936119169988,0.00177404756892,0.00270568078181,0.00156834500971,0.00143282702353,0.00102983568492,0.00142137076857,0.000535572613227,0.0011572475854,8/8/2014
0.0016018466693,0.000999664174342,0.000934817324912,0.00175881615802,0.0026999503773,0.00155822171275,0.00142223659526,0.00103015314407,0.00142771742991,0.000535162992755,0.00115674827757,8/15/2014
0.00160203422707,0.00100278415623,0.000934567093982,0.00176113111494,0.00268701228195,0.00154480525682,0.0013808686105,0.00102218124649,0.00142733506858,0.000534990740566,0.00116034161489,8/22/2014
0.00159235018733,0.000997401045901,0.000919788482952,0.00166786449444,0.00265659031298,0.00153092430866,0.00137214585719,0.00100072302221,0.0014198897062,0.000534375327703,0.00111655943226,8/29/2014
0.00159555767212,0.000989180845594,0.000875821879381,0.0016503266849,0.00242947032483,0.00142978406837,0.00126790023184,0.000948226055678,0.00132605085332,0.000523052461452,0.00108256266876,9/5/2014
0.0015708579145,0.000990477550665,0.000876045288194,0.0016418481483,0.00242781614102,0.00142987618903,0.00126791310212,0.000948197960563,0.00128440396842,0.000527731885523,0.001054401606,9/12/2014
0.00156314263831,0.000998137492328,0.00086576602481,0.00163825843907,0.00242307914299,0.00142667429897,0.00126580505709,0.000947960508301,0.00128893299316,0.0005228957346,0.00105288932396,9/19/2014
0.00145824419848,0.000882438127143,0.00085903034127,0.00158429199314,0.00239929574418,0.00141810339816,0.00125865560997,0.000938746370275,0.00132442319412,0.000520405554992,0.00102737509658,9/26/2014
0.0014217096939,0.00090453836503,0.000874562331735,0.00157634471397,0.00235454051485,0.00141582761742,0.0012546160324,0.000962531499053,0.00132696251965,0.000520644963878,0.00104569993069,10/3/2014
0.00142502949068,0.000929815279555,0.000874933939863,0.00154034520602,0.00225292729382,0.00132091219787,0.00121512505761,0.000910999399791,0.00124716771689,0.000527724936535,0.00102927171799,10/10/2014
0.00145568765551,0.000942045088711,0.000885969876988,0.0015620723944,0.00211539036336,0.001260812061,0.00118349189923,0.000873823642512,0.0011908484965,0.000538325488527,0.00103339879071,10/17/2014
0.00144598724388,0.000946164052728,0.000884371814549,0.00158551163097,0.00211244165531,0.00125845408349,0.00118355890832,0.000877449981067,0.00119996164681,0.000538890882804,0.00103608784285,10/24/2014
0.00144053223031,0.000948572060287,0.000868596309023,0.0015231298112,0.0019744230311,0.00118621806149,0.0011341123474,0.000872554648496,0.00118218892071,0.000534411905992,0.00102267130621,10/31/2014
0.00144312317216,0.000925794691723,0.000856470375356,0.00152848605946,0.0019375452793,0.00117630579481,0.00109893332477,0.000853053313098,0.00117594915811,0.000511288342793,0.00100649643005,11/7/2014
0.00141779839851,0.000872453527988,0.00085612226394,0.00149882113837,0.00178959078508,0.00112348540899,0.00100260065305,0.000771637973193,0.00110648318492,0.000478096167575,0.000975016615015,11/14/2014
0.00141925621118,0.000872100867904,0.000855241432216,0.00149783576415,0.00177576802772,0.0011145363076,0.00100016679322,0.00077002463114,0.00111597285042,0.000474782691473,0.000974808617011,11/21/2014
0.00141978716116,0.000883600776414,0.000855346789324,0.00151439523096,0.00173431141657,0.00102223043902,0.000996180433349,0.000769089731575,0.00110810546476,0.0004758878597,0.000979616858248,11/28/2014
0.00141957920558,0.000884796385813,0.000863360290614,0.00151286730924,0.00172817565987,0.00102437618206,0.000996917824659,0.000791469918214,0.00116015339514,0.000476818605381,0.000962392645727,12/5/2014
0.00142084281722,0.000883192032667,0.000863762512654,0.00151307577375,0.00173335582257,0.00101540391509,0.00100023036429,0.000807531759592,0.001188115442,0.000481158877737,0.000963041628138,12/12/2014
0.00141316380511,0.000892159156994,0.000827076143975,0.001501467353,0.0017210414958,0.00101075823671,0.000973555324764,0.000807665316188,0.00118803918386,0.000481873496193,0.00095507822029,12/19/2014
0.00142623737876,0.000884657010952,0.00083199826704,0.00149702937601,0.00171135869479,0.000993349890257,0.000972696621545,0.000803104884237,0.00119305015883,0.000482444286961,0.00095627951398,12/26/2014
0.00142874977928,0.000877671915459,0.00081801643523,0.00148112489904,0.00167088484658,0.00095172884485,0.000984543172948,0.000803417877895,0.00119344708301,0.000491886307372,0.000958776381496,1/2/2015
0.00142952782066,0.000878027662532,0.000819163737622,0.00148212398217,0.00169385519286,0.000970637402141,0.00100957536417,0.000801068572458,0.00118742370076,0.000488550546111,0.000959140867286,1/9/2015
0.00144938707149,0.000894725413589,0.00081492162531,0.00150089461762,0.00164577671519,0.000957704250006,0.00100611722901,0.000802610676241,0.00117488426187,0.000489596750399,0.000959975264459,1/16/2015
0.00142705640915,0.000894687187123,0.000976886395218,0.00159732839874,0.0016474783634,0.000966332216756,0.00101615842215,0.0008165804654,0.0011783538898,0.000499784630092,0.000961266954038,1/23/2015
0.00142733157938,0.000895191543924,0.000985397907066,0.00161059259612,0.00165994158522,0.000987827064022,0.00103666479,0.000833453026048,0.00117583605428,0.000527186048183,0.000961086087286,1/30/2015
0.00144437985745,0.000900171009723,0.00099160581031,0.00160854077782,0.00165292434572,0.000992328336416,0.0010409582272,0.000840006780417,0.00118171898306,0.000537286389158,0.000961470161421,2/6/2015
0.00143601759375,0.000901576005648,0.000990030198844,0.00160843971286,0.00165151728927,0.000985292882587,0.00102033308928,0.000839776795122,0.00118501585091,0.000537210953045,0.000961793203797,2/13/2015
0.00143681327475,0.000899566039493,0.000989899490127,0.00160632134962,0.00165125214504,0.000981511137303,0.0010230059581,0.00084192357684,0.00118525051024,0.000537952786501,0.000962633747705,2/20/2015
0.00140872918369,0.000892211533825,0.000997018026059,0.00160647032034,0.00163106059573,0.000971280226947,0.000982079041465,0.000833557875996,0.00119468791975,0.000537186718789,0.000961783822534,2/27/2015
0.00141202841302,0.000898378349608,0.000998557649003,0.00159713285519,0.00162487741564,0.000968442319732,0.000981347147533,0.000829055737015,0.00122566570867,0.000536706014691,0.000962826350371,3/6/2015
0.00141356858347,0.000900228222128,0.00100557804561,0.00159173074815,0.0016151978043,0.00096830030265,0.000980397873869,0.000831724661734,0.00123903428551,0.000529441646214,0.000919373171307,3/13/2015
0.00139920579014,0.000900043348543,0.00101628589444,0.00158271641318,0.00158667304784,0.000953866128695,0.000983382546138,0.000848132843352,0.00123218151172,0.000527716638777,0.000919492172303,3/20/2015
0.00138521700222,0.000905545234824,0.00101455564352,0.00157464486129,0.00155755587809,0.000950083728873,0.000980815478271,0.000835607709684,0.00125427204621,0.000523826704142,0.000910150810302,3/27/2015
0.00136436126257,0.000889570836388,0.0010060710885,0.00157802688596,0.00155727481037,0.000947323641893,0.00098127229078,0.000823785679086,0.00146965089593,0.000523249105637,0.000906738704086,4/3/2015
0.00135239812413,0.000891710224956,0.00100457993204,0.0013859038681,0.00155075968837,0.000946287075146,0.000981952578245,0.000825142982875,0.00147076610045,0.000522254972237,0.00079969901807,4/10/2015
0.00133310538146,0.000916316052413,0.00111909688632,0.00156314971232,0.00152569967767,0.000928400343179,0.000971652709411,0.000807407680791,0.00148822351727,0.000514682507842,0.000798355867943,4/17/2015
0.00133431646622,0.000928302600081,0.00112013582716,0.00158215776732,0.00149038834109,0.000897464577242,0.00087044817033,0.000805547573314,0.00149541818426,0.000521730249964,0.000781797097396,4/24/2015
0.00130327491795,0.00092778969739,0.00110032435843,0.00155591701114,0.00139736513468,0.000864449249695,0.000805460590487,0.00078932032289,0.00149654338366,0.000521495175795,0.000760947017424,5/1/2015
0.00128394966446,0.000925953235853,0.00109992688179,0.00155864979648,0.00139642051527,0.000864415294071,0.00080533163974,0.000788901436717,0.00149221465977,0.000518160865113,0.000753293064461,5/8/2015
0.00128788535341,0.000916546963666,0.00110046885014,0.00155401048866,0.0013819795309,0.000854354739547,0.00078713183445,0.000782540557482,0.00148590535616,0.000513958615485,0.000749977313589,5/15/2015
0.0012846652189,0.000918404581499,0.00109138120819,0.00154167074221,0.00135299268897,0.000853561627792,0.000773542519531,0.000769203771314,0.00149104673147,0.000512206702025,0.000730869717056,5/22/2015
0.00128502790669,0.000911826829209,0.00109317533875,0.00154211937546,0.00134783612412,0.00085477713709,0.000768367853737,0.000773527256952,0.00148823615475,0.000513523856144,0.000708985519842,5/29/2015
0.00128572557096,0.00091182334792,0.00109110304513,0.00154106623783,0.00134573231859,0.000850383141735,0.000765498023027,0.000767498142463,0.00148922369642,0.00051350377526,0.000709886058561,6/5/2015
0.00128610164735,0.000912348369111,0.00109080678753,0.00153790020469,0.0013428717227,0.000848424859273,0.000764907781412,0.000766171460476,0.00149788405121,0.000513115547905,0.000692627196387,6/12/2015
0.00127870323885,0.000913079508333,0.00109205768989,0.00153566975191,0.00133354494077,0.000848036163771,0.000749619583797,0.000768320656789,0.00151044091019,0.000510311243408,0.00069323393681,6/19/2015
0.00127876258739,0.000911746921923,0.00108951109101,0.001528152584,0.00133489651548,0.000850351413553,0.000730759320377,0.000771697774902,0.00150954837979,0.00051230262948,0.000704870571033,6/26/2015
0.00128378829118,0.000893872759206,0.00108660252628,0.00151828976575,0.00126932271759,0.000841708880599,0.000702685614883,0.000772552566528,0.00150990067213,0.000508701606328,0.000765184594815,7/3/2015
0.00129021785771,0.0012152526222,0.0010958969854,0.00155310459599,0.00125944961038,0.000811321002344,0.000666082338572,0.000779451964395,0.00151598895788,0.000510625348436,0.000760236610055,7/10/2015
0.0012874385544,0.00124790613146,0.00109794006424,0.00160062953638,0.00126133454233,0.000816043738306,0.000662024443364,0.000790737476219,0.00152781040401,0.000511037002564,0.000767293764756,7/17/2015
0.00129187973112,0.00124782484808,0.00109672204253,0.00159955413017,0.00124718817262,0.000816178578046,0.00066022388641,0.000793257497101,0.00171452432693,0.00052419740458,0.000767033227336,7/24/2015
0.00129574176842,0.00123258501365,0.00109441201645,0.00159971087876,0.00124792042101,0.000817210559895,0.000660968809347,0.000792713557059,0.00171451163142,0.000526170591133,0.000770298290039,7/31/2015
